anas_platyrhynchos::Merge	anolis_carolinensis::Merge	aptenodytes_forsteri::Merge	both_finches::Merge	both_finches_crow::Merge	both_finches_crow_manakin::Merge	columba_livia::Merge	corvus_brachyrhynchos::Merge	cuculus_canorus::Merge	egret_penguin::Merge	egretta_garzetta::Merge	g2::Merge	g4::Merge	g6::Merge	g7::Merge	gallus_gallus::Merge	geospiza_fortis::Merge	manacus_vitellinus::Merge	neognathae::Merge	struthio_camelus::Merge	taeniopygia_guttata::Merge	
102	63	35	17	24	17	88	35	86	1	30	4	1	8	1	83	23	31	6	18	45	
12	1	3		2	3	14	5	22	1	4						6	5	10	1	5	
