anas_platyrhynchos::100	anolis_carolinensis::100	aptenodytes_forsteri::100	both_finches::100	both_finches_crow::100	both_finches_crow_manakin::100	columba_livia::100	corvus_brachyrhynchos::100	cuculus_canorus::100	egret_penguin::100	egretta_garzetta::100	g2::100	g6::100	g7::100	gallus_gallus::100	geospiza_fortis::100	manacus_vitellinus::100	neognathae::100	struthio_camelus::100	taeniopygia_guttata::100	
104	44	36	16	24	16	90	35	88	1	31	3	8	1	78	25	32	7	22	45	Unique	
10	16	6		1	3	16	6	24	1	6		1			7	6	8	2	5	Reuse	
