anas_platyrhynchos::50	anolis_carolinensis::50	aptenodytes_forsteri::50	both_finches::50	both_finches_crow::50	both_finches_crow_manakin::50	columba_livia::50	corvus_brachyrhynchos::50	cuculus_canorus::50	egret_penguin::50	egretta_garzetta::50	g2::50	g3::50	g4::50	g5::50	g6::50	g7::50	gallus_gallus::50	geospiza_fortis::50	manacus_vitellinus::50	neognathae::50	struthio_camelus::50	taeniopygia_guttata::50	
12	31	8				21	6	27		7	1		1				8	8	7	4	7		Reuse	
118	108	46	20	32	34	104	43	101	1	44	10	1	2	1	3	3	66	41	32	9	39	77	Unique	
