anas_platyrhynchos::300	anolis_carolinensis::300	aptenodytes_forsteri::300	both_finches::300	both_finches_crow::300	both_finches_crow_manakin::300	columba_livia::300	corvus_brachyrhynchos::300	cuculus_canorus::300	egret_penguin::300	egretta_garzetta::300	g2::300	g3::300	g4::300	g5::300	g6::300	g7::300	gallus_gallus::300	geospiza_fortis::300	manacus_vitellinus::300	neognathae::300	struthio_camelus::300	taeniopygia_guttata::300	
8	9	6				13	4	15	2	3		1	1				4	2	3	16	4		Reuse	
53	24	33	3	15	16	58	20	54	3	20	4		1	1	1	1	29	16	16	7	11	49	Unique	
