anas_platyrhynchos::50	anolis_carolinensis::50	aptenodytes_forsteri::50	both_finches::50	both_finches_crow::50	both_finches_crow_manakin::50	columba_livia::50	corvus_brachyrhynchos::50	cuculus_canorus::50	egret_penguin::50	egretta_garzetta::50	g2::50	g6::50	g7::50	gallus_gallus::50	geospiza_fortis::50	manacus_vitellinus::50	neognathae::50	struthio_camelus::50	taeniopygia_guttata::50	
137	72	42	20	30	23	103	45	98	1	43	6	14	1	95	31	38	8	28	53	Unique	
15	26	5	1	1	1	21	7	30		5					9	8	8	2	9	Reuse	
