anas_platyrhynchos::100	anolis_carolinensis::100	aptenodytes_forsteri::100	both_finches::100	both_finches_crow::100	both_finches_crow_manakin::100	columba_livia::100	corvus_brachyrhynchos::100	cuculus_canorus::100	egret_penguin::100	egretta_garzetta::100	g2::100	g3::100	g4::100	g5::100	g6::100	g7::100	gallus_gallus::100	geospiza_fortis::100	manacus_vitellinus::100	neognathae::100	struthio_camelus::100	taeniopygia_guttata::100	
91	59	40	18	26	24	88	37	87	5	33	7	1	2	1	4	2	51	32	30	7	23	69	Unique	
10	19	4				17	3	18		4			1				3	4	3	4	4		Reuse	
