anas_platyrhynchos::300	anolis_carolinensis::300	aptenodytes_forsteri::300	both_finches::300	both_finches_crow::300	both_finches_crow_manakin::300	columba_livia::300	corvus_brachyrhynchos::300	cuculus_canorus::300	egret_penguin::300	egretta_garzetta::300	g2::300	g4::300	g6::300	g7::300	gallus_gallus::300	geospiza_fortis::300	manacus_vitellinus::300	neognathae::300	struthio_camelus::300	taeniopygia_guttata::300	
58	16	29	6	16	11	53	20	51	2	22	4	1	3	3	52	15	15	5	9	28	Unique	
10	8	4		1	4	16	3	12	1	4	1					1	4	14	3	3	Reuse	
