anas_platyrhynchos::Merge	anolis_carolinensis::Merge	aptenodytes_forsteri::Merge	both_finches::Merge	both_finches_crow::Merge	both_finches_crow_manakin::Merge	columba_livia::Merge	corvus_brachyrhynchos::Merge	cuculus_canorus::Merge	egret_penguin::Merge	egretta_garzetta::Merge	g2::Merge	g3::Merge	g4::Merge	g5::Merge	g6::Merge	g7::Merge	gallus_gallus::Merge	geospiza_fortis::Merge	manacus_vitellinus::Merge	neognathae::Merge	struthio_camelus::Merge	taeniopygia_guttata::Merge	
90	82	39	20	26	28	85	36	84	1	33	7	2	2	1	4	2	47	31	29	7	19	71	
9	3	4				11	3	16		3							2	4	3	4	5		
